CourseCode,LectureRoom
CLTR0003-005,251
CLTR0003-006,248
CLTR0043-007,B102
CLTR0089-004,B102
CLTR0205-036,324
CLTR0205-037,251
CLTR0205-038,248
CLTR0205-039,348
COME0301-010,104
COME0301-011,342
COME0301-012,B102
COME0301-013,348
COME0301-014,342
COME0311-005,345
COME0311-006,345
COME0331-006,104
COME0331-007,348
COME0331-008,351
COME0331-009,224
COME0368-001,348
COMP0204-001,301
COMP0204-002,209
COMP0204-003,309
COMP0204-004,106
COMP0216-001,106
COMP0216-002,301
COMP0216-003,355
COMP0216-004,224
COMP0224-002,342
COMP0224-003,345
COMP0224-005,342
COMP0312-002,B101
COMP0312-003,345
COMP0322-002,355
COMP0322-003,245
COMP0322-003,225
COMP0322-004,355
COMP0322-005,224
COMP0322-005,245
COMP0322-006,355
COMP0328-001,106
COMP0328-002,224
COMP0328-004,224
COMP0328-003,106
COMP0411-005,B101
COMP0411-006,B101
COMP0411-007,B102
COMP0411-008,B101
COMP0423-001,104
COMP0428-001,B101
COMP0453-001,224
COMP0453-002,301
COMP0453-003,224
GLSO0213-001,248
GLSO0213-002,248
GLSO0217-001,355
GLSO0217-002,355
ITEC0418-001,B101
ITEC0419-001,B102
ITEC0424-001,B102
