CourseCode,CourseName,Department,OpenYear,Semester,StudYear,Type,College,Credit,Lecture,Practice,LectureBuilding,Lecturer,StudQuota
CLTR0003-005,실용화법,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김령환,2
CLTR0003-006,실용화법,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),박소은,2
CLTR0043-007,서양의역사와문화,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),최현미,2
CLTR0089-004,회계와사회생활,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,3,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),조성표,2
CLTR0205-036,대학글쓰기,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),홍미주,2
CLTR0205-037,대학글쓰기,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),이원동,2
CLTR0205-038,대학글쓰기,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),구태운,2
CLTR0205-039,대학글쓰기,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,교양,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김도경,2
COME0301-010,이산수학,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학4호관(제2학생회관),박혜영,2
COME0301-011,이산수학,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),이시형,2
COME0301-012,이산수학,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김진욱,2
COME0301-013,이산수학,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),아난드 폴,2
COME0301-014,이산수학,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김진욱,2
COME0311-005,확률및통계,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),이종택,2
COME0311-006,확률및통계,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),문재경,2
COME0331-006,자료구조,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학4호관(제2학생회관),류은경,2
COME0331-007,자료구조,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김구진,2
COME0331-008,자료구조,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김정홍,2
COME0331-009,자료구조,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),이은주,2
COME0368-001,정보보호론,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,4,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김경훈,2
COMP0204-001,프로그래밍기초,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,6,4,4,산격동 캠퍼스 IT대학5호관(IT융복합관),배준현,2
COMP0204-002,프로그래밍기초,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,6,4,4,산격동 캠퍼스 공대12호관,부희형,2
COMP0204-003,프로그래밍기초,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,6,4,4,산격동 캠퍼스 IT대학5호관(IT융복합관),이성희,2
COMP0204-004,프로그래밍기초,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공필수,IT대학,6,4,4,산격동 캠퍼스 IT대학4호관(제2학생회관),정기숙,2
COMP0216-001,자료구조응용,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학4호관(제2학생회관),류은경,2
COMP0216-002,자료구조응용,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),김구진,2
COMP0216-003,자료구조응용,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),김정홍,2
COMP0216-004,자료구조응용,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,1,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),이은주,2
COMP0224-002,소프트웨어설계,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김동선,2
COMP0224-003,소프트웨어설계,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),최윤자,2
COMP0224-005,소프트웨어설계,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김동선,2
COMP0312-002,운영체제,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),김명석,2
COMP0312-003,운영체제,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공필수,IT대학,3,3,0,산격동 캠퍼스 IT대학5호관(IT융복합관),정설영,2
COMP0322-002,데이타베이스,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),서영균,2
COMP0322-003,데이타베이스,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),이용주,2
COMP0322-004,데이타베이스,컴퓨터학부 글로벌소프트웨어융합전공,2022,2학기,2,전공,IT대학,3,2,2,산격동 캠퍼스 IT대학5호관(IT융복합관),서영균,2
